prioridad,cluster,titulo_trabajo,accion,formato,intencion,gap_type,entidades,justificacion
media,claude-code,Claude Code: precios y planes explicados para profesionales hispanohablantes,crear,guia,comercial,consolidado,claude code; claude; openai,Gaps claude code pricing (0.3061) / claude code price (0.4388) / claude price (0.4388) consolidados. Intencion comercial. Audiencia hispanohablante sin cobertura de calidad. Complementa el cluster Claude Code.
media,cluster-claude-code,Cluster Claude Code: arquitectura de enlaces entre guias en espanol,cluster,cluster,informacional,trending,claude code; claude; anthropic,Gaps claude code documentation (0.1688) / claude code docs (0.3367) / what is claude code (0.1697). Organizar editorialmente las piezas del cluster Claude Code bajo arquitectura de enlaces internos. Accion estructural no contenido nuevo.
media,prompting,Prompt injection: que es y por que importa si usas agentes de IA,crear,guia,informacional,consolidado,prompting; agentes; ia generativa; llm,Gap prompt injection (0.1837 consolidado). Seguridad en prompting. Conecta tono anti-hype: conocer los riesgos de los agentes es parte del criterio que predica el brief.
media,herramientas-ia,Google AI Studio: para que sirve y como usarlo en un flujo editorial,crear,tutorial,informacional,trending,google ai studio; gemini; ia generativa; prompting,Gap google ai studio (0.0134 trending 3 seeds). Herramienta de Google que conecta con Gemini (entidad_nucleo). 3 seeds indica demanda real. Angulo: flujo de trabajo real no documentacion oficial.
media,nano-banana,Prompts para Nano Banana Pro: como sacarle partido desde el dia uno,crear,guia,informacional,trending,nano banana; nano banana pro; gemini; prompting,Gaps nano banana pro (0.0162 trending) / prompt para nano banana (0.0207 trending) / nano banana gemini (0.0314 trending). Nano banana es entidad_nucleo del brief. Territorio propio con poca competencia en espanol.
media,automatizacion,WordPress y MCP: automatizar la publicacion con agentes de IA,crear,tutorial,informacional,trending,wordpress; agentes; automatizaciones; n8n,Gap wordpress mcp (trending). WordPress es entidad_nucleo y MCP es tecnologia emergente. Conecta el territorio WordPress del brief con agentes/automatizacion. Angulo practico para audiencia no tecnica.
media,agentes-ia,IA agentica: que significa y que cambia en tu flujo de trabajo,crear,guia,informacional,trending,agentes; ia generativa; automatizaciones; workflows,Gap ia agentica (trending score bajo pero concepto estrategico emergente). Conecta agentes + IA generativa ambos nucleo del brief. Posicionamiento anticipado antes de que el termino aumente en volumen.
media,herramientas-ia,ChatGPT Business vs Claude Pro: cual tiene mas sentido para tu trabajo,crear,comparativa,comercial,consolidado,chatgpt; claude; openai; ia generativa,Gaps chatgpt business (trending) y claude pro (consolidado 0.3469). Intencion comercial/decision de compra. Audiencia que evalua herramientas de pago. Angulo de criterio propio no comparativa de especificaciones.
media,prompting,Generador de prompts: cuando usarlos y cuando el criterio propio gana,crear,guia,informacional,consolidado,prompting; prompt; ia generativa; chatgpt,Gaps generador de prompts (trending 0.0029) / prompt generator (consolidado 0.1224) / prompt optimizer (trending 0.0131). Angulo anti-hype: el criterio propio supera a los generadores automaticos.
media,herramientas-ia,NotebookLM y RAG: como construir tu base de conocimiento con IA,actualizar,guia,informacional,consolidado,notebooklm; rag; ia generativa; contexto,Entity rag notebooklm en entities_curated (1 post salience 0.049). Gap de demanda consolidada. Actualizar el contenido existente anadiendo el angulo RAG/embeddings con demanda real.
media,seo-geo,AI Overviews y SEO en 2026: como aparecer cuando Google responde el solo,actualizar,guia,informacional,consolidado,ai overviews; seo; geo; ctr; ia generativa,Entity ai overviews en entities_curated (1 post salience 0.014). Gaps consolidados relacionados (deep research google). Actualizar con datos 2026 y angulo GEO reforzado. Territorio SEO + IA generativa = nucleo del brief.
media,herramientas-ia,Gemini CLI: primeros pasos para marketers y creadores de contenido,crear,tutorial,informacional,trending,gemini; ia generativa; prompting; google ai studio,Gap gemini cli (trending). Gemini es entidad_nucleo. CLI accesible para audiencia no desarrolladora con el angulo correcto. Complementa el cluster de herramientas Google AI.
baja,automatizacion,Automatizacion con n8n e IA: primer flujo sin saber programar,crear,tutorial,informacional,consolidado,n8n; agentes; automatizaciones; ia generativa; workflows,n8n es entidad_nucleo (1 post salience baja). No hay gap directo de alta demanda para n8n en espanol en este corpus. Crear cuando el cluster de automatizacion tenga mas piezas ancla.
baja,seo-geo,CTR y AI Overviews: como medir el impacto cuando Google se queda el clic,actualizar,guia,informacional,consolidado,ctr; ai overviews; seo; google,Entity ctr en entities_curated (1 post). Actualizar el post existente anadiendo angulo AI Overviews 2026. Prioridad baja porque la pieza media de AI Overviews ya lo cubre parcialmente.
baja,herramientas-ia,Grok y los modelos alternativos a ChatGPT: un mapa actualizado,crear,guia,informacional,trending,grok; ia generativa; chatgpt; gemini; claude,Gap grok ai (trending score muy bajo 0.0001). Grok en entities_curated (1 post). Territorio comparativas pero score residual. Crear solo si el cluster de herramientas necesita completarse.
baja,prompting,Prompt para imagenes con IA: experimento real con criterio,crear,tutorial,informacional,trending,prompting; ia generativa; chatgpt,Gap prompt para fotos profesionales (trending 0.0063). Periferico al territorio principal (el brief no cubre imagenes como disciplina). Solo tiene sentido si hay un experimento real que ejemplifique el metodo de prompting con criterio propio.
